kg,fcr
5.96,1.2480000000000002
5.97,1.2485000000000002
5.98,1.249
5.99,1.2495
6,1.25
6.01,1.251000000000011
6.02,1.2520000000000109
6.03,1.2530000000000108
6.04,1.2540000000000107
6.05,1.2550000000000106
6.06,1.2560000000000104
6.07,1.2570000000000103
6.08,1.2580000000000102
6.09,1.2590000000000101
6.1,1.26000000000001
6.11,1.26100000000001
6.12,1.2620000000000098
6.13,1.2630000000000097
6.14,1.2640000000000096
6.15,1.2650000000000095
6.16,1.2660000000000093
6.17,1.2670000000000092
6.18,1.2680000000000091
6.19,1.269000000000009
6.2,1.270000000000009
6.21,1.2710000000000088
6.22,1.2720000000000087
6.23,1.2730000000000086
6.24,1.2740000000000085
6.25,1.2750000000000083
6.26,1.2760000000000082
6.27,1.2770000000000081
6.28,1.278000000000008
6.29,1.279000000000008
6.3,1.2800000000000078
6.31,1.2810000000000077
6.32,1.2820000000000076
6.33,1.2830000000000075
6.34,1.2840000000000074
6.35,1.2850000000000072
6.36,1.2860000000000071
6.37,1.287000000000007
6.38,1.288000000000007
6.39,1.2890000000000068
6.4,1.2900000000000067
6.41,1.2910000000000066
6.42,1.2920000000000065
6.43,1.2930000000000064
6.44,1.2940000000000063
6.45,1.2950000000000061
6.46,1.296000000000006
6.47,1.297000000000006
6.48,1.2980000000000058
6.49,1.2990000000000057
6.5,1.3000000000000056
6.51,1.3010000000000055
6.52,1.3020000000000054
6.53,1.3030000000000053
6.54,1.3040000000000052
6.55,1.305000000000005
6.56,1.306000000000005
6.57,1.3070000000000048
6.58,1.3080000000000047
6.59,1.3090000000000046
6.6,1.3100000000000045
6.61,1.3110000000000044
6.62,1.3120000000000043
6.63,1.3130000000000042
6.64,1.314000000000004
6.65,1.315000000000004
6.66,1.3160000000000038
6.67,1.3170000000000037
6.68,1.3180000000000036
6.69,1.3190000000000035
6.7,1.3200000000000034
6.71,1.3210000000000033
6.72,1.3220000000000032
6.73,1.323000000000003
6.74,1.324000000000003
6.75,1.3250000000000028
6.76,1.3260000000000027
6.77,1.3270000000000026
6.78,1.3280000000000025
6.79,1.3290000000000024
6.8,1.3300000000000023
6.81,1.3310000000000022
6.82,1.332000000000002
6.83,1.333000000000002
6.84,1.3340000000000019
6.85,1.3350000000000017
6.86,1.3360000000000016
6.87,1.3370000000000015
6.88,1.3380000000000014
6.89,1.3390000000000013
6.9,1.3400000000000012
6.91,1.341000000000001
6.92,1.342000000000001
6.93,1.3430000000000009
6.94,1.3440000000000007
6.95,1.3450000000000006
6.96,1.3460000000000005
6.97,1.3470000000000004
6.98,1.3480000000000003
6.99,1.3490000000000002
7,1.35
7.01,1.3510000000000109
7.02,1.3520000000000107
7.03,1.3530000000000106
7.04,1.3540000000000105
7.05,1.3550000000000104
7.06,1.3560000000000103
7.07,1.3570000000000102
7.08,1.35800000000001
7.09,1.35900000000001
7.1,1.3600000000000099
